Cultivares,potasio ,calcio,magnesio,fosforo,fierro,manganeso,cobre zinc 
Jalpa ,4.6506,3.7618,1.5158,0.1014,15.3145,23.1416,2.8354
Villanueva ,4.5854,3.3389,1.3104,0.1141,12.2593,28.9958,2.175
Oreja de elefante ,3.4724,3.4882,0.7145,0.0903,16.15,15.7708,2.9583
