Cultivares,Cenizas ,Nitrogeno,Proteina,Grasa,Fibra Cruda,Materia organica,Carbohidratos
Rango 1 ,17.1317,0.4461,2.7883,2.0222,7.0343,72.9797,61.1347
Rango 2,18.3847,0.4372,2.7326,1.923,7.4795,71.3296,59.278
Rango 3,19.2315,0.4282,2.6768,1.9613,7.4711,69.4978,57.3885
Rango 4 ,20.9314,0.4238,2.6489,2.0502,8.7831,65.5002,51.9342
