Cultivares,Rango 1 ,Rango 2,Rango 3,Rango 4
Jalpa ,41.5,22.944,15.111,16.944
Villanueva ,64.944,61,35.111,21.722
Oreja de elefante ,42.444,52.444,22,26.444
