Cultivares,Rango 1 ,Rango 2,Rango 3,Rango 4
Jalpa ,34.778,23.333,24.111,24.611
Villanueva ,25.883,25.994,32.556,26.389
Oreja de elefante ,31.056,50.167,27,35.778
